,stop_code,stop_name,stop_lat,stop_lon,stop_change
3329,47018,Southbound Watt at Chalmers,49.91096262258781,-97.1033497179361,New
3330,47020,Eastbound Regent at Kildonan Place Hub,49.8965683969217,-97.05980011454278,New
3331,50001,Southbound Beghin at Dugald South,49.8852159852823,-97.04320128901634,Unchanged
3332,50002,Southbound Beghin at De Baets,49.88315081956617,-97.04395300960564,Removed
3333,50003,Eastbound Paquin at Beghin,49.88098823603455,-97.04426314438405,Removed
3334,50004,Eastbound Paquin at Beghin East,49.88017693167011,-97.04096899342518,Removed
3335,50005,Northbound Durand at De Baets,49.88278407788856,-97.03929038227498,Unchanged
3336,50006,Westbound Durand at Beghin East,49.884478479382985,-97.03948623604995,Unchanged
3337,50007,Westbound Durand at Beghin,49.88447776266393,-97.0426325181242,Removed
3338,50008,Northbound Beghin at Dugald South,49.88532954871207,-97.0430017925891,Unchanged
3339,50009,Eastbound Dugald at Beghin,49.88574671861692,-97.03788952730346,Removed
3340,50010,Westbound Dugald at Bournais,49.88596412970057,-97.03744913221598,Removed
3341,50011,Northbound Lagimodiere at Warman,49.89065323023703,-97.07185815381736,Removed
3342,50012,Southbound Lagimodiere at Warman,49.89031859636842,-97.07228918352,Removed
3343,50013,Southbound Lagimodiere at Dugald,49.88613703125753,-97.07235832348404,Unchanged
3344,50014,Northbound Lagimodiere at Dugald,49.88580762948119,-97.0720234005334,Unchanged
3345,50015,Northbound Lagimodiere at Marion,49.881579725594776,-97.0720108682607,Unchanged
3346,50016,Southbound Lagimodiere at Marion,49.881495395375175,-97.07234832149808,Unchanged
3347,50017,Southbound Lagimodiere at Dawson,49.87822010549695,-97.07228389247778,Removed
3348,50018,Southbound Lagimodiere at Maginot,49.87387274047446,-97.0715801586829,Removed
3349,50019,Northbound Lagimodiere at Maginot,49.8739390908837,-97.0712434740016,Removed
3350,50020,Northbound Speers at Maginot,49.873358915683625,-97.07367444322168,Unchanged
3351,50021,Westbound Maginot at Speers,49.873759449658145,-97.07287907777994,Unchanged
3352,50022,Westbound Marion at Lagimodiere,49.88200485458005,-97.07323287555587,Unchanged
3353,50024,Eastbound Marion at Holden,49.88183398015811,-97.07539738170198,Removed
3354,50025,Westbound Marion at Holden,49.881994659912216,-97.07586429583048,Removed
3355,50026,Eastbound Marion at Dawson,49.881818514386374,-97.0825949749114,Unchanged
3356,50027,Westbound Marion at Dawson,49.88197547862298,-97.08283932853486,Unchanged
3357,50029,Southbound Dawson at Panet North,49.88361655890668,-97.08470935664047,Unchanged
3358,50030,Westbound Marion at Panet West,49.881966594244155,-97.08773976260464,Unchanged
3359,50031,Eastbound Marion at Panet West,49.881806421866415,-97.08730063108034,Unchanged
3360,50032,Westbound Marion at Dupuy East,49.881973394961435,-97.08978583456803,Removed
3361,50033,Eastbound Marion at Dupuy East,49.881799844421835,-97.0896256371444,Removed
3362,50034,Eastbound Marion at Dupuy,49.88180119688103,-97.092980456019,Unchanged
3363,50035,Eastbound Marion at Nicolas,49.88179564961726,-97.09537502230818,Removed
3364,50036,Westbound Elizabeth at Arundel,49.87103437211951,-97.0908159300336,Removed
3365,50037,Eastbound Elizabeth at Arundel,49.870913569728074,-97.0911268787775,Removed
3366,50038,Southbound Drake at Elizabeth,49.87050303331418,-97.08805340597227,Removed
3367,50039,Westbound Elizabeth at Drake,49.87104126521788,-97.08741977867814,Unchanged
3368,50040,Eastbound Elizabeth at Drake,49.87091449659858,-97.08736911658109,Unchanged
3369,50041,Northbound Drake at Elizabeth,49.870733766334304,-97.08786336721968,Removed
3370,50042,Westbound Elizabeth at Hansford,49.87104921805245,-97.08355038659504,Unchanged
3371,50043,Eastbound Elizabeth at Hansford,49.8709231387885,-97.08354145985818,Unchanged
3372,50044,Westbound Elizabeth at De Bourmont,49.87104807349124,-97.08130970628808,Unchanged
3373,50045,Southbound De Bourmont at Elizabeth,49.87066383972392,-97.08092132783892,Removed
3374,50046,Southbound Speers at Elizabeth,49.87049472187914,-97.07236883074658,Unchanged
3375,50047,Northbound Speers at Elizabeth,49.87131111305269,-97.07223890196906,Unchanged
3376,50048,Southbound Speers at Bernier,49.86863257705307,-97.0723594667957,Unchanged
3377,50049,Northbound Speers at Bernier,49.86836911165625,-97.07220295439846,Unchanged
3378,50050,Northbound Speers at Halliday,49.867073283175806,-97.07217104784355,Removed
3379,50051,Southbound Speers at Halliday,49.86685133409307,-97.07234688079936,Removed
3380,50052,Northbound Speers at Betournay,49.86558914541583,-97.07217447110968,Unchanged
3381,50053,Westbound Betournay at Speers,49.865310062513885,-97.0727004706991,Unchanged
3382,50054,Westbound Betournay at Vincent Massey,49.86514724993473,-97.06563768770476,Removed
3383,50055,Eastbound Betournay at Vincent Massey,49.86503380125153,-97.06530823929144,Removed
3384,50056,Westbound Betournay at Vincent Massey West,49.8651912751788,-97.06935147091264,Removed
3385,50057,Eastbound Betournay at Jubinville,49.865052725816405,-97.06913434130634,Removed
3386,50058,Eastbound Betournay at Speers,49.865136164670496,-97.07144104822925,Removed
3387,50059,Eastbound Betournay at Howden,49.86523525859224,-97.0741507006485,Removed
3388,50060,Westbound Betournay at Howden,49.865378690235104,-97.0752026070018,Removed
3389,50061,Eastbound Betournay at Heather,49.86525587761768,-97.07593111518187,Removed
3390,50062,Eastbound Betournay at Autumnwood,49.86524074342366,-97.07772686609668,Unchanged
3391,50063,Northbound Autumnwood at Betournay,49.86567961544357,-97.07815475649686,Unchanged
3392,50064,Northbound Autumnwood at De Bourmont Bay,49.866813177156494,-97.07816543101848,Removed
3393,50065,Northbound Autumnwood at De Bourmont,49.8673327551475,-97.08020444870796,Unchanged
3394,50066,Southbound De Bourmont at Autumnwood,49.867465754831294,-97.08063058766174,Unchanged
