,CTUID,DGUID,CTNAME,LANDAREA,PRUID,pop_density,transit_users,pop_change,poverty_rate,low_income
150,6020560.08,2021S05076020560.08,560.08,0.9238,46,4416.5,1.9,9.6,7.5,3.6
151,6020560.09,2021S05076020560.09,560.09,1.3647,46,2517.0,7.6,8.6,7.6,8.7
152,6020560.1,2021S05076020560.10,560.1,9.8036,46,582.1,12.1,63.0,8.9,9.1
153,6020560.11,2021S05076020560.11,560.11,5.2322,46,927.0,5.0,69.8,6.0,7.4
154,6020560.12,2021S05076020560.12,560.12,2.0084,46,2715.1,3.7,-0.9,4.6,5.7
155,6020560.13,2021S05076020560.13,560.13,1.3687,46,2003.4,3.2,7.2,3.3,6.4
156,6020110.08,2021S05076020110.08,110.08,6.3519,46,1168.5,1.0,54.7,5.9,6.4
157,6020110.09,2021S05076020110.09,110.09,3.236,46,2378.2,3.3,37.9,4.2,4.2
158,6020120.04,2021S05076020120.04,120.04,2.4016,46,1373.3,8.7,-4.7,4.7,8.7
159,6020120.05,2021S05076020120.05,120.05,1.2221,46,4122.4,4.5,5.6,2.8,2.7
160,6020560.14,2021S05076020560.14,560.14,0.8314,46,3253.5,11.8,2.8,10.4,14.2
161,6020560.15,2021S05076020560.15,560.15,0.9264,46,5295.8,11.8,-0.9,10.6,11.6
162,6020140.04,2021S05076020140.04,140.04,4.7952,46,2482.1,5.7,122.0,6.2,7.2
163,6020140.05,2021S05076020140.05,140.05,7.044,46,1056.4,4.7,13.2,7.4,8.9
164,6020100.09,2021S05076020100.09,100.09,2.9499,46,1261.4,3.1,23.8,2.9,3.6
165,6020100.1,2021S05076020100.10,100.1,1.5457,46,3719.4,3.8,-2.7,3.0,5.1
166,6020500.1,2021S05076020500.10,500.1,1.8869,46,3290.1,7.1,-0.9,21.5,19.7
167,6020500.11,2021S05076020500.11,500.11,3.7967,46,1815.5,3.8,8.2,12.7,15.4
168,6020500.12,2021S05076020500.12,500.12,4.0166,46,1826.4,5.8,52.1,13.1,15.6
169,6020500.13,2021S05076020500.13,500.13,6.704,46,1695.3,4.6,278.3,14.1,14.4
